Iteration	Posterior	Likelihood	Prior	alpha	clock	lambda	mu	pi[1]	pi[2]	pi[3]	pi[4]	r[1]	r[2]	r[3]	r[4]	rates[1]	rates[2]	rates[3]	rates[4]	rates[5]	rates[6]	tmrca
370	-27121.49	-26851.73	-269.7527	0.07086961	2.319091e-05	0.8897261	0.8957198	0.326897	0.282624	0.130643	0.259836	1.77314e-09	6.2723e-05	0.0288047	3.97113	0.00414137	0.554532	0.0227894	0.00865489	0.397478	0.0124045	234.6584
375	-27118.78	-26852.02	-266.7581	0.04527744	2.487447e-05	0.8904374	0.8919822	0.322238	0.287006	0.132668	0.258087	2.8105e-14	2.50253e-07	0.00290944	3.99709	0.00917156	0.534795	0.0252644	0.00634127	0.410676	0.0137516	187.7757
380	-27110.78	-26850.28	-260.4975	0.02539419	2.568431e-05	0.8887647	0.8916734	0.321844	0.287878	0.132506	0.257772	1.09348e-24	1.56362e-12	2.01621e-05	3.99998	0.0090984	0.532855	0.022099	0.00386718	0.419552	0.0125282	191.9293
385	-27119.14	-26855.01	-264.1275	0.007166136	2.202003e-05	0.8863688	0.8922823	0.324899	0.285525	0.133911	0.255665	5.42216e-85	1.10281e-42	6.18423e-18	4	0.00892672	0.530666	0.0326851	0.00379421	0.411636	0.0122918	237.086
390	-27123.28	-26853.28	-270.0046	0.06973913	2.190686e-05	0.8864429	0.8924405	0.330875	0.280728	0.131661	0.256737	1.29156e-09	5.35369e-05	0.0269718	3.97297	0.00748812	0.524351	0.0234476	0.00487595	0.431319	0.00851839	222.464
395	-27120.14	-26851.71	-268.428	0.006257241	2.285366e-05	0.8853592	0.8930643	0.331882	0.280305	0.131463	0.25635	3.394e-97	8.72579e-49	1.81507e-20	4	0.0153024	0.56975	0.0240415	0.00440798	0.375209	0.0112887	208.3308
400	-27123.78	-26861.04	-262.7318	0.06962901	2.526756e-05	0.8874506	0.8944323	0.32992	0.282092	0.131522	0.256466	1.2516e-09	5.27029e-05	0.0267966	3.97315	0.0152331	0.569083	0.0195815	0.0100559	0.374771	0.0112755	192.4556
405	-27119.03	-26848.88	-270.1528	0.005624614	2.587548e-05	0.8870184	0.8938133	0.326083	0.285144	0.132666	0.256107	5.11264e-108	3.38685e-54	1.03074e-22	4	0.00676767	0.554932	0.0203123	0.0066444	0.394392	0.0169515	192.4556
410	-27129.65	-26863.96	-265.6921	0.07070029	2.673144e-05	0.8868444	0.8926451	0.326431	0.285448	0.132808	0.255314	1.69203e-09	6.12726e-05	0.0285262	3.97141	0.00583748	0.559047	0.0204629	0.00669367	0.397316	0.0106425	188.8342
415	-27117.46	-26853.64	-263.8108	0.001385634	2.354472e-05	0.887264	0.8925172	0.328879	0.287589	0.126303	0.257229	0	6.30343e-218	1.14594e-90	4	0.00696836	0.536921	0.0286367	0.00560106	0.411896	0.00997691	221.2712
420	-27117.79	-26848.77	-269.021	0.004244888	2.39399e-05	0.8873689	0.8893396	0.323967	0.284924	0.136263	0.254846	8.26473e-143	1.36188e-71	6.21388e-30	4	0.00750992	0.50301	0.0248093	0.0114273	0.443908	0.00933621	190.7994
425	-27113.23	-26849.1	-264.1247	0.02431479	2.498829e-05	0.8883388	0.8893106	0.321358	0.282629	0.135165	0.260847	9.692e-26	4.65555e-13	1.21957e-05	3.99999	0.0104185	0.504882	0.0249017	0.00950201	0.44556	0.00473556	189.3805
430	-27119.34	-26851.08	-268.2616	0.005672869	2.700086e-05	0.8867513	0.8903189	0.326461	0.287117	0.127879	0.258543	4.16061e-107	9.66162e-54	1.59256e-22	4	0.0109224	0.529299	0.0282272	0.00996155	0.409666	0.0119235	178.7192
435	-27117.6	-26862.01	-255.5959	0.0199804	3.463688e-05	0.8866176	0.8905242	0.323169	0.284313	0.12663	0.265888	4.12354e-31	9.60644e-16	9.37243e-07	4	0.00475479	0.502586	0.029927	0.00581051	0.447803	0.00911892	129.9825
440	-27106.29	-26857.06	-249.2356	0.03554359	3.442117e-05	0.8845425	0.8924919	0.320144	0.281652	0.134804	0.263399	6.42675e-18	3.7874e-09	0.00051133	3.99949	0.010877	0.523505	0.0219101	0.00605236	0.429156	0.00849879	146.5238
445	-27107.95	-26857.62	-250.3342	0.07217787	3.473758e-05	0.881273	0.8963323	0.327396	0.288032	0.130197	0.254376	2.52715e-09	7.48727e-05	0.0310018	3.96892	0.0113981	0.520051	0.0218291	0.00235674	0.436079	0.008287	166.8633
450	-27102.11	-26853.21	-248.8934	0.04010741	3.347639e-05	0.8826609	0.897051	0.328357	0.288877	0.132967	0.249799	5.43379e-16	3.48119e-08	0.0012835	3.99872	0.0101344	0.543978	0.0228334	0.00102135	0.413365	0.00866828	146.0784
455	-27105.63	-26864.2	-241.4355	0.02676183	3.660093e-05	0.8830396	0.8972851	0.329494	0.281048	0.129364	0.260094	1.77957e-23	6.30711e-12	3.59639e-05	3.99996	0.00555537	0.537193	0.0186119	0.00110216	0.427401	0.0101361	166.6955
460	-27107.67	-26859.09	-248.5764	0.03165268	3.20328e-05	0.8815555	0.8966764	0.329494	0.281048	0.129364	0.260094	5.32232e-20	3.44779e-10	0.000189181	3.99981	0.00579809	0.525673	0.0190621	0.0026675	0.437739	0.00906053	144.285
465	-27113.54	-26863.66	-249.8753	0.039982	3.274938e-05	0.8808204	0.8975619	0.319553	0.293574	0.132844	0.254029	4.8756e-16	3.29758e-08	0.00125496	3.99875	0.00951227	0.554517	0.0172875	0.00942836	0.396988	0.0122666	162.3701
470	-27100.93	-26851.76	-249.1734	0.008719294	3.408617e-05	0.880309	0.8975286	0.324044	0.283403	0.134953	0.2576	5.00593e-70	3.3504e-35	7.8845e-15	4	0.00575226	0.482917	0.0217279	0.0092617	0.467422	0.0129186	135.732
475	-27104.21	-26853.2	-251.006	0.03174243	3.302778e-05	0.8839226	0.8966525	0.328786	0.28755	0.131703	0.251962	6.02382e-20	3.66794e-10	0.000194103	3.99981	0.00814051	0.480323	0.0210808	0.00921196	0.464912	0.0163318	145.2002
480	-27103.94	-26854.12	-249.8149	0.03407158	3.382395e-05	0.8834823	0.8985445	0.326891	0.279901	0.134979	0.258229	1.19205e-18	1.63135e-09	0.000360527	3.99964	0.0110271	0.560896	0.0243662	0.00884965	0.385994	0.00886701	164.2426
485	-27107.86	-26856.17	-251.6881	0.07399544	3.210605e-05	0.8824988	0.8990816	0.322904	0.279847	0.135609	0.26164	4.04941e-09	9.47627e-05	0.0341873	3.96572	0.00668279	0.503817	0.0232046	0.00828349	0.452628	0.00538362	139.8206
490	-27104.28	-26854.18	-250.1003	0.01182643	3.020338e-05	0.8832745	0.8985424	0.326034	0.277709	0.133833	0.262423	6.92466e-52	3.93945e-26	4.58317e-11	4	0.00846005	0.535961	0.0290372	0.00779732	0.408058	0.0106858	154.5334
495	-27101.43	-26848.68	-252.7511	0.07719132	3.461876e-05	0.8831211	0.8996531	0.328106	0.278875	0.134395	0.258623	8.79085e-09	0.000139585	0.0401508	3.95971	0.00777908	0.536903	0.022454	0.00781101	0.408775	0.0162785	143.2652
